Distance,Number of neighbours,Number of parts of the signal,F1 score,Precision,Recall
manhattan,2,1,0.621212121212121,0.916666666666667,0.6
euclidean,2,1,0.621212121212121,0.916666666666667,0.6
manhattan,2,2,0.430769230769231,0.8,0.3
manhattan,6,1,0.416666666666667,0.357142857142857,0.5
manhattan,4,1,0.416666666666667,0.357142857142857,0.5
euclidean,6,1,0.416666666666667,0.357142857142857,0.5
manhattan,6,"(30, 20)",0.394417889158785,0.695625300253067,0.295918367346939
euclidean,4,1,0.384615384615385,0.3125,0.5
manhattan,4,"(30, 20)",0.382807469140702,0.701149159165603,0.284438775510204
manhattan,9,"(30, 20)",0.378054804530508,0.685593965477347,0.285714285714286
euclidean,9,"(30, 20)",0.377861804620325,0.680859616573902,0.283163265306122
manhattan,43,"(30, 20)",0.375308365104283,0.670151541200002,0.289540816326531
manhattan,13,"(30, 20)",0.374307449235541,0.664192147447214,0.281887755102041
euclidean,4,"(30, 20)",0.373422168203243,0.680692036710856,0.276785714285714
manhattan,20,"(30, 20)",0.370045630283411,0.667822203364252,0.281887755102041
manhattan,64,"(30, 20)",0.370004390282841,0.647597754937988,0.285714285714286
euclidean,13,"(30, 20)",0.369034383019988,0.675093033729171,0.276785714285714
manhattan,29,"(30, 20)",0.367875168943112,0.657795451101233,0.280612244897959
euclidean,2,2,0.366666666666667,0.8,0.25
euclidean,6,"(30, 20)",0.360271460726895,0.661682127396413,0.266581632653061
euclidean,20,"(30, 20)",0.360169768214864,0.657516402590294,0.274234693877551
euclidean,64,"(30, 20)",0.359651083645849,0.639461412802425,0.276785714285714
euclidean,29,"(30, 20)",0.354438238335474,0.644969203897775,0.269132653061224
manhattan,2,"(30, 20)",0.352361565877755,0.642341627061784,0.255102040816327
euclidean,43,"(30, 20)",0.35176181732333,0.637959934726651,0.266581632653061
euclidean,4,3,0.333333333333333,1,0.2
euclidean,2,"(30, 20)",0.332586883238357,0.608249481004186,0.24234693877551
manhattan,4,3,0.328173374613003,1,0.2
manhattan,6,2,0.320512820512821,0.833333333333333,0.2
manhattan,4,2,0.30952380952381,0.75,0.2
euclidean,4,2,0.30952380952381,0.75,0.2
manhattan,2,3,0.307894736842105,0.675,0.2
manhattan,6,3,0.273026315789474,1,0.166666666666667
euclidean,2,3,0.261111111111111,0.633333333333333,0.166666666666667
euclidean,6,2,0.243589743589744,0.666666666666667,0.15
euclidean,6,3,0.235294117647059,1,0.133333333333333
